Time Stamp	Low Noise Accelerometer X	Low Noise Accelerometer Y	Low Noise Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Magnetometer X	Magnetometer Y	Magnetometer Z	Quaternion 0	Quaternion 1	Quaternion 2	Quaternion 3
CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL	CAL
milliseconds	m/(s^2) *	m/(s^2) *	m/(s^2) *	degrees/s *	degrees/s *	degrees/s *	local flux *	local flux *	local flux *	normalised quaternion	normalised quaternion	normalised quaternion	normalised quaternion
257.6904296875	15.46534653465346	-10.64356435643564	-20.1980198019802	-468.4981684981685	-827.106227106227	-4313.186813186813	-0.2586206896551724	-6.827586206896552	-2.548275862068965	0.780484897283676	0.1319655840101052	0.6058593789613397	0.07976730328613107
382.6904296875	9.128712871287128	-10.64356435643564	-20.1980198019802	-468.4981684981685	-826.7399267399267	-4313.186813186813	-0.2689655172413793	-6.820689655172414	-2.555172413793104	0.7430270625591128	-0.2943419148914844	0.4712370850393563	-0.3731075329263681
512320.1904296875	2.792079207920792	-10.64356435643564	-20.1980198019802	-468.4981684981685	-827.4725274725274	-4031.868131868132	-0.2672413793103448	-6.834482758620689	-2.56551724137931	0.428671766147765	-0.6007509028849588	0.1625300891166889	-0.6549220104122199
512468.6279296875	-3.544554455445545	-13.17821782178218	-17.66336633663366	-468.4981684981685	-827.106227106227	-2531.501831501831	-0.2810344827586207	-6.824137931034483	-2.539655172413793	0.1097618174943352	-0.7290952289038503	-0.08927937793551259	-0.6696280185934803
1024406.127929688	-9.881188118811881	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.4725274725274	-3656.776556776556	-0.2896551724137931	-6.83103448275862	-2.553448275862069	-0.3199184557519278	-0.6563868816924207	-0.4243204176676708	-0.5355003514114021
1536312.377929688	-16.21782178217822	-10.64356435643564	-17.66336633663366	-468.4981684981685	-826.7399267399267	-5157.142857142857	-0.2568965517241379	-6.829310344827586	-2.537931034482758	-0.6744051762726349	-0.2453304765829355	-0.6821029639551285	-0.1404498559625278
1536382.690429688	18	-10.64356435643564	-17.66336633663366	-468.4981684981685	-826.7399267399267	-4406.959706959707	-0.2862068965517242	-6.825862068965517	-2.563793103448276	-0.7078671857456681	0.2414300224921659	-0.6035633727957576	0.276309331372195
2048312.377929688	11.66336633663366	-10.64356435643564	-17.66336633663366	-468.4981684981685	-827.4725274725274	-2812.820512820513	-0.2862068965517242	-6.834482758620689	-2.555172413793104	-0.5656130836018213	0.5641576047535889	-0.3674805036010506	0.4761996599434429
